esta,data ini,vent gra_mit,vent vel_mit,vent vel_max,temp mit_mit,hrel mit_mit,pres mit_mit,prec tot_sum,prec tot
c28m023e02,7/14/19 0:00,90,"3,2","6,4","19,7",87,"1009,6",0,0
c28m023e02,7/14/19 0:10,90,"4,8",8,"19,5",87,"1009,5",0,0
c28m023e02,7/14/19 0:20,90,0,8,"19,6",88,"1009,5",0,0
c28m023e02,7/14/19 0:30,90,"1,6",8,"19,4",87,"1009,5",0,0
c28m023e02,7/14/19 0:40,90,"3,2",8,"19,2",88,"1009,5",0,0
c28m023e02,7/14/19 0:50,90,0,8,"19,3",89,"1009,5",0,0
c28m023e02,7/14/19 1:00,0,0,8,"19,4",89,"1009,6",0,0
c28m023e02,7/14/19 1:10,0,0,8,"19,5",88,"1009,6",0,0
c28m023e02,7/14/19 1:20,0,0,8,"19,4",88,"1009,6",0,0
c28m023e02,7/14/19 1:30,0,0,8,"19,3",88,"1009,6",0,0
c28m023e02,7/14/19 1:40,0,0,8,"19,2",87,"1009,7",0,0
c28m023e02,7/14/19 1:50,0,0,8,"19,1",86,"1009,8",0,0
c28m023e02,7/14/19 2:00,90,0,8,"19,1",85,"1009,8",0,0
c28m023e02,7/14/19 2:10,90,0,8,"19,1",83,"1009,8",0,0
c28m023e02,7/14/19 2:20,90,"1,6",8,"19,3",81,1010,0,0
c28m023e02,7/14/19 2:30,90,"1,6",8,20,73,1010,0,0
c28m023e02,7/14/19 2:40,90,"1,6",8,"20,7",68,1010,0,0
c28m023e02,7/14/19 2:50,202,"4,8","17,7","21,6",61,1010,0,0
c28m023e02,7/14/19 3:00,202,"4,8","17,7","22,1",57,1010,0,0
c28m023e02,7/14/19 3:10,225,"4,8","17,7","22,4",56,"1009,9",0,0
c28m023e02,7/14/19 3:20,202,8,"17,7","22,8",54,1010,0,0
c28m023e02,7/14/19 3:30,202,8,"17,7","23,2",53,"1010,1",0,0
c28m023e02,7/14/19 3:40,225,8,"17,7","23,4",52,"1010,1",0,0
c28m023e02,7/14/19 3:50,247,"6,4","17,7","23,8",51,"1010,1",0,0
c28m023e02,7/14/19 4:00,247,8,"20,9",24,50,"1010,2",0,0
c28m023e02,7/14/19 4:10,247,8,"22,5","24,2",50,"1010,1",0,0
c28m023e02,7/14/19 4:20,270,"6,4","22,5","24,6",49,"1010,3",0,0
c28m023e02,7/14/19 4:30,270,"6,4","22,5","24,9",48,"1010,3",0,0
c28m023e02,7/14/19 4:40,270,8,"22,5","25,1",48,"1010,3",0,0
c28m023e02,7/14/19 4:50,292,"6,4","22,5","25,4",47,"1010,3",0,0
c28m023e02,7/14/19 5:00,292,"6,4","22,5","25,7",46,"1010,3",0,0
