esta,data ini,vent gra_mit,vent vel_mit,vent vel_max,temp mit_mit,hrel mit_mit,pres mit_mit,prec tot_sum,prec tot
c31m057e01,8/27/20 0:00,221,"6,4","69,2","24,9",33,"1018,6",0,0
c31m057e01,8/27/20 0:10,210,8,"14,5","25,4",32,"1018,5",0,0
c31m057e01,8/27/20 0:30,226,"4,8","14,5","25,3",33,"1018,5",0,0
c31m057e01,8/27/20 0:40,209,"6,4","14,5","25,1",33,"1018,4",0,0
c31m057e01,8/27/20 1:00,198,"6,4","14,5","24,8",34,"1018,4",0,0
c31m057e01,8/27/20 1:10,211,"3,2","14,5","24,9",34,"1018,4",0,0
c31m057e01,8/27/20 1:30,225,0,"14,5","24,8",35,"1018,3",0,0
c31m057e01,8/27/20 1:50,247,"1,6","14,5","23,8",39,"1018,2",0,0
c31m057e01,8/27/20 2:00,199,"6,4","14,5","23,9",39,"1018,1",0,0
c31m057e01,8/27/20 2:20,222,"3,2","14,5","24,2",38,"1018,1",0,0
c31m057e01,8/27/20 2:30,226,"3,2","14,5","24,5",37,"1017,9",0,0
c31m057e01,8/27/20 2:40,219,"3,2","14,5","24,3",38,"1017,9",0,0
c31m057e01,8/27/20 3:00,225,"1,6","14,5","23,9",39,"1017,7",0,0
c31m057e01,8/27/20 3:10,221,"1,6","14,5","23,9",38,"1017,7",0,0
c31m057e01,8/27/20 3:30,234,"4,8","14,5","24,1",37,"1017,5",0,0
c31m057e01,8/27/20 3:40,236,"3,2","14,5","24,2",37,"1017,6",0,0
c31m057e01,8/27/20 4:00,236,0,"14,5","23,7",38,"1017,3",0,0
c31m057e01,8/27/20 4:10,254,0,"14,5","23,4",38,"1017,3",0,0
c31m057e01,8/27/20 4:30,254,0,"14,5","22,9",39,"1017,1",0,0
c31m057e01,8/27/20 4:40,254,"1,6","14,5","22,4",40,1017,0,0
c31m057e01,8/27/20 5:00,254,0,"14,5","22,3",41,"1016,9",0,0
c31m057e01,8/27/20 5:10,248,"3,2","14,5","22,2",42,"1016,9",0,0
c31m057e01,8/27/20 5:30,284,"4,8","14,5","23,2",39,"1016,8",0,0
c31m057e01,8/27/20 5:40,213,"3,2","14,5","24,3",35,"1016,6",0,0
c31m057e01,8/27/20 6:00,213,8,"16,1","25,2",33,"1016,6",0,0
c31m057e01,8/27/20 6:10,196,"6,4","16,1","25,4",33,"1016,5",0,0
c31m057e01,8/27/20 6:30,275,0,"16,1","25,1",34,"1016,7",0,0
c31m057e01,8/27/20 6:40,275,0,"16,1","23,9",38,"1016,9",0,0
c31m057e01,8/27/20 7:00,275,"1,6","16,1","22,9",41,"1016,9",0,0
c31m057e01,8/27/20 7:10,246,"1,6","16,1","22,3",42,1017,0,0
c31m057e01,8/27/20 7:30,242,0,"16,1","21,7",43,"1017,1",0,0
c31m057e01,8/27/20 7:40,242,0,"16,1","21,4",44,"1017,1",0,0
c31m057e01,8/27/20 8:00,242,"1,6","16,1","21,7",47,"1017,2",0,0
c31m057e01,8/27/20 8:10,242,0,"16,1","22,4",47,"1017,1",0,0
c31m057e01,8/27/20 8:30,242,"1,6","16,1","23,3",49,1017,0,0
c31m057e01,8/27/20 8:40,242,"3,2","16,1","24,3",41,1017,0,0
c31m057e01,8/27/20 9:00,24,0,"16,1","25,3",41,"1016,9",0,0
c31m057e01,8/27/20 9:10,25,0,"16,1","25,8",39,1017,0,0
c31m057e01,8/27/20 9:30,25,"1,6","16,1",26,40,1017,0,0
c31m057e01,8/27/20 9:40,25,0,"16,1","26,4",40,"1016,9",0,0
c31m057e01,8/27/20 10:00,49,"4,8","16,1","26,8",38,"1016,7",0,0
c31m057e01,8/27/20 10:10,55,"3,2","16,1","27,1",37,"1016,9",0,0
c31m057e01,8/27/20 10:30,68,"1,6","16,1","27,2",36,"1017,1",0,0
c31m057e01,8/27/20 10:50,63,"4,8","16,1","27,6",36,"1017,1",0,0
c31m057e01,8/27/20 11:00,65,0,"16,1","27,6",37,"1017,3",0,0
c31m057e01,8/27/20 11:20,63,"1,6","16,1","27,4",39,"1017,4",0,0
c31m057e01,8/27/20 11:30,63,"4,8","16,1","28,2",37,"1017,5",0,0
c31m057e01,8/27/20 11:50,59,"4,8","16,1","27,7",40,"1017,5",0,0
c31m057e01,8/27/20 12:00,53,"6,4","16,1","27,7",42,"1017,3",0,0
c31m057e01,8/27/20 12:10,71,"3,2","16,1","28,4",41,"1017,1",0,0
c31m057e01,8/27/20 12:30,53,8,"16,1","28,9",41,1017,0,0
c31m057e01,8/27/20 12:40,64,"4,8","16,1","29,2",42,"1016,8",0,0
c31m057e01,8/27/20 13:00,48,"6,4","16,1","28,9",43,"1016,6",0,0
c31m057e01,8/27/20 13:10,355,"3,2","16,1","28,9",42,"1016,7",0,0
c31m057e01,8/27/20 13:30,54,"4,8","16,1","29,3",39,"1016,5",0,0
c31m057e01,8/27/20 13:40,80,8,"16,1","29,5",40,"1016,5",0,0
c31m057e01,8/27/20 14:00,48,"6,4","16,1","29,8",41,"1016,5",0,0
c31m057e01,8/27/20 14:10,54,"6,4","17,7","29,4",41,"1016,3",0,0
c31m057e01,8/27/20 14:30,57,8,"17,7","29,8",41,"1016,3",0,0
c31m057e01,8/27/20 14:40,26,"4,8","17,7","29,7",44,"1016,2",0,0
c31m057e01,8/27/20 15:00,46,"6,4","17,7","30,1",46,"1015,8",0,0
c31m057e01,8/27/20 15:10,66,"4,8","17,7","29,9",49,"1015,6",0,0
c31m057e01,8/27/20 15:30,67,8,"17,7","29,6",51,"1015,5",0,0
c31m057e01,8/27/20 15:40,59,"9,7","17,7","29,8",51,"1015,2",0,0
c31m057e01,8/27/20 16:00,89,"1,6","17,7","29,3",53,"1015,2",0,0
c31m057e01,8/27/20 16:10,59,"1,6","17,7","29,6",54,"1015,1",0,0
c31m057e01,8/27/20 16:30,41,"6,4","17,7","29,5",56,"1014,7",0,0
c31m057e01,8/27/20 16:40,63,"3,2","17,7","29,5",54,"1014,6",0,0
c31m057e01,8/27/20 17:00,63,"6,4","17,7","29,2",56,"1014,4",0,0
c31m057e01,8/27/20 17:10,60,"4,8","17,7","29,2",56,"1014,3",0,0
c31m057e01,8/27/20 17:30,28,8,"17,7","28,9",56,"1014,3",0,0
