esta,data ini,vent gra_mit,vent vel_mit,vent vel_max,temp mit_mit,hrel mit_mit,pres mit_mit,prec tot_sum,prec tot
c30m102e07,8/7/20 0:00,292,"4,7","0,0","26,4","51,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 0:05,296,"4,3","6,8","26,5","49,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 0:20,267,"6,1","10,0","25,9","52,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 0:25,274,"6,3","10,0","25,9","52,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 0:30,268,"5,3","10,0","25,9","52,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 0:35,277,"4,2","10,0","25,9","51,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 0:40,282,"4,3","10,0","25,8","50,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 0:45,278,"5,1","10,0","25,7","50,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 0:50,275,"5,0","10,0","25,8","50,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 0:55,276,"4,0","10,0","25,9","50,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 1:00,258,"2,1","10,0","26,0","49,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 1:05,248,"1,1","10,0","26,0","48,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 1:10,241,"0,6","10,0","26,0","46,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 1:15,229,"0,1","10,0","25,9","45,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 1:20,225,"0,0","10,0","25,8","44,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 1:25,225,"0,4","10,0","25,8","44,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 1:30,236,"1,3","10,0","25,8","43,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 1:35,248,"2,5","10,0","25,8","41,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 1:40,248,"2,5","10,0","25,7","40,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 1:45,248,"2,5","10,0","25,7","40,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 1:50,248,"3,0","10,0","25,7","41,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 1:55,248,"2,4","10,0","25,7","41,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 2:00,240,"2,5","10,0","25,6","42,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 2:05,229,"3,8","10,0","25,5","42,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 2:10,225,"3,5","10,0","25,5","43,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 2:15,225,"1,2","10,0","25,4","43,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 2:20,225,"0,0","10,0","25,5","43,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 2:25,247,"0,5","10,0","25,4","44,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 2:30,281,"3,0","10,0","25,2","47,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 2:35,281,"3,5","10,0","25,1","47,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 2:40,270,"1,0","10,0","25,1","48,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 2:45,270,"0,1","10,0","25,2","48,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 2:50,279,"1,8","10,0","25,2","48,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 2:55,276,"3,7","10,0","25,1","48,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 3:00,270,"2,0","10,0","25,1","48,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 3:05,270,"0,1","10,0","25,0","48,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 3:10,270,"0,1","10,0","25,0","48,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 3:15,270,"0,1","10,0","25,0","48,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 3:20,270,"0,7","10,0","24,9","50,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 3:25,270,"1,8","10,0","24,9","50,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 3:30,270,"1,0","10,0","24,9","49,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 3:35,241,"1,3","10,0","24,9","49,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 3:40,232,"1,4","10,0","24,7","49,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 3:45,235,"0,6","10,0","24,6","49,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 3:50,225,"1,3","10,0","24,6","49,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 3:55,225,"2,2","10,0","24,6","49,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 4:00,225,"1,5","10,0","24,6","49,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 4:05,225,"0,5","10,0","24,6","49,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 4:10,225,"0,5","10,0","24,6","50,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 4:15,225,"0,1","10,0","24,6","50,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 4:20,225,"0,3","10,0","24,6","50,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 4:25,225,"1,2","10,0","24,6","50,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 4:30,229,"1,1","10,0","24,4","51,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 4:35,243,"0,4","10,0","24,3","52,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 4:40,248,"0,8","10,0","24,3","52,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 4:45,248,"1,9","10,0","24,2","53,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 4:50,248,"2,0","10,0","24,1","53,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 4:55,248,"2,2","10,0","24,1","54,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 5:00,248,"2,5","10,0","24,0","54,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 5:05,263,"2,7","10,0","23,9","59,0","1016,0","0,00","0,00"
c30m102e07,8/7/20 5:10,271,"2,3","10,0","23,9","58,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 5:15,270,"0,9","10,0","23,9","57,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 5:20,270,"0,7","10,0","23,9","57,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 5:25,270,"0,8","10,0","23,9","57,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 5:30,256,"2,5","10,0","23,7","59,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 5:35,263,"4,0","10,0","23,7","61,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 5:40,284,"4,0","10,0","23,6","61,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 5:45,279,"4,5","10,0","23,5","62,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 5:50,265,"5,2","10,0","23,5","63,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 5:55,258,"5,0","10,0","23,6","62,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 6:00,252,"3,1","10,0","23,7","62,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 6:05,271,"3,2","10,0","23,8","62,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 6:10,285,"4,3","10,0","23,5","63,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 6:15,279,"3,8","10,0","23,4","63,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 6:20,275,"2,1","10,0","23,5","62,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 6:25,266,"0,2","10,0","23,5","62,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 6:30,248,"0,0","10,0","23,5","61,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 6:35,262,"1,7","10,0","23,5","63,0","1017,0","0,00","0,00"
c30m102e07,8/7/20 6:40,282,"3,5","10,0","23,4","63,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 6:45,280,"4,1","10,0","23,3","64,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 6:50,282,"4,0","10,0","23,3","65,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 6:55,289,"4,0","10,0","23,2","67,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 7:00,279,"4,2","10,0","23,2","67,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 7:05,267,"1,8","10,0","23,2","66,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 7:10,284,"1,8","10,0","23,2","67,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 7:15,292,"3,1","10,0","23,3","67,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 7:20,288,"3,9","10,0","23,3","68,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 7:25,283,"5,1","10,0","23,2","69,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 7:30,277,"4,8","10,0","23,2","70,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 7:35,268,"4,0","10,0","23,2","70,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 7:40,263,"2,6","10,0","23,2","69,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 7:45,270,"1,0","10,0","23,3","70,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 7:50,270,"0,4","10,0","23,4","70,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 7:55,270,"1,4","10,0","23,5","69,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 8:00,282,"3,8","10,0","23,5","70,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 8:05,285,"4,5","10,0","23,6","70,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 8:10,284,"2,8","10,0","23,8","70,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 8:15,292,"1,4","10,0","23,9","69,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 8:20,284,"2,7","10,0","23,8","70,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 8:25,284,"4,5","10,0","23,9","70,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 8:30,282,"3,9","10,0","24,2","69,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 8:35,285,"3,4","10,0","24,4","68,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 8:40,282,"3,2","10,0","24,6","67,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 8:45,271,"2,4","10,0","24,8","67,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 8:50,270,"1,1","10,0","25,2","65,0","1018,0","0,00","0,00"
c30m102e07,8/7/20 8:55,270,"0,2","10,0","25,4","65,0","1018,0","0,00","0,00"
