FECHA	HORA	SO2	CO	NO	NO2	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.
		µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²
01/01/2016	00	3	0.2	5	24	31	20	0.1	58	16.9	87	1024	0	0
01/01/2016	01	3	0.2	5	26	33	22	0.5	39	16.9	89	1023	0	0
01/01/2016	02	3	0.2	4	24	30	20	0.1	36	16.6	89	1023	0	0
01/01/2016	03	3	0.2	5	23	30	15	0.1	355	15.8	91	1023	0	0
01/01/2016	04	3	0.2	6	22	31	11	0.1	230	15.4	92	1023	0	0
01/01/2016	05	3	0.2	6	20	29	8	0.1	226	15.5	92	1023	0	0
01/01/2016	06	3	0.1	7	19	30	6	0.1	207	15.5	93	1023	0	0
01/01/2016	07	3	0.2	6	18	27	6	0.1	202	15.7	93	1023	0	0
01/01/2016	08	3	0.1	7	18	27	7	0.1	271	15.8	92	1023	0	0
01/01/2016	09	3	0.1	7	18	29	9	0.1	244	15.9	93	1024	0	0
01/01/2016	10	3	0.1	6	20	29	14	0.1	230	16.6	92	1024	15	0
01/01/2016	11	3	0.1	6	21	30	26	0.1	188	18.3	85	1024	239	0
01/01/2016	12	3	0.1	5	20	28	36	0.1	169	20.4	74	1023	338	0
01/01/2016	13	3	0.1	3	19	24	48	0.1	213	21.4	70	1021	337	0
01/01/2016	14	3	0.1	4	19	24	48	0.5	47	21.6	70	1020	342	0
01/01/2016	15	4	0.1	4	21	28	44	1.6	59	20.9	73	1019	185	0
01/01/2016	16	3	0.1	3	20	25	49	1.2	42	19.7	80	1018	46	0
01/01/2016	17	3	0.1	3	22	27	44	0.2	23	18.6	85	1018	3	0
01/01/2016	18	3	0.1	3	21	26	38	0.1	360	17.2	90	1018	0	0
01/01/2016	19	3	0.1	5	24	32	23	0.1	313	16.1	92	1018	0	0
01/01/2016	20	3	0.2	7	25	36	14	0.1	238	15.5	93	1019	0	0
01/01/2016	21	3	0.1	7	26	37	14	0.1	231	15.2	94	1018	0	0
01/01/2016	22	3	0.1	6	23	33	14	0.2	256	14.6	94	1018	0	0
01/01/2016	23	3	0.2	6	22	31	14	0.2	249	14.8	95	1017	0	0
02/01/2016	00	3	0.1	6	21	29	24	0.6	253	15.5	92	1017	0	0
02/01/2016	01	3	0.1	6	20	29	26	0.2	266	15.1	89	1017	0	0
02/01/2016	02	3	0.1	4	19	26	29	1	230	15.4	88	1016	0	0
02/01/2016	03	3	0.1	3	19	24	42	1.4	224	17.5	78	1016	0	0
02/01/2016	04	3	0.1	5	17	24	38	0.3	189	17.2	78	1017	0	0
02/01/2016	05	3	0.1	3	17	21	41	0.3	244	18.3	74	1016	0	0
02/01/2016	06	3	0.1	4	18	24	40	0.1	215	18.4	75	1016	0	0
02/01/2016	07	3	0.1	3	18	22	49	0.3	255	18.6	71	1017	0	0
02/01/2016	08	3	0.1	3	18	22	55	0.3	258	18.5	67	1018	0	0
02/01/2016	09	3	0.1	3	18	22	56	0.6	263	17.7	65	1019	19	0
02/01/2016	10	3	0.1	3	18	22	57	0.2	261	18.1	61	1020	116	0
02/01/2016	11	3	0.1	3	17	21	60	0.8	265	18.5	58	1021	155	0
02/01/2016	12	3	0.1	2	16	20	60	1	263	18.6	56	1021	158	0
02/01/2016	13	3	0.1	2	16	18	68	2.5	259	19.3	50	1020	191	0
02/01/2016	14	3	0.1	2	15	18	73	2.3	258	20.7	45	1020	342	0
02/01/2016	15	3	0.1	3	15	19	68	3.1	258	20.3	46	1019	189	0
02/01/2016	16	3	0.1	3	15	18	69	2.1	262	20.3	45	1019	144	0
02/01/2016	17	3	0.1	3	16	21	61	1	268	19	49	1020	34	0
02/01/2016	18	3	0.1	3	15	19	62	1.8	260	17.5	52	1020	0	0
02/01/2016	19	3	0.1	2	19	23	59	1.4	246	16.7	54	1021	0	0
02/01/2016	20	3	0.1	2	22	24	52	0.5	233	15.6	58	1021	0	0
