FECHA	HORA	SO2	NO	NO2	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.
		�g/m�	�g/m�	�g/m�	�g/m�	�g/m�	m/s	grados	�C	% H.R.	mb	W/m�	l/m�
01/01/2016	00	3	4	11	15	27	0.2	262	13	89	1003	0	0
01/01/2016	01	3	3	9	12	37	2	322	14	80	1002	0	0
01/01/2016	02	3	3	7	10	39	1.7	324	14.5	76	1002	0	0
01/01/2016	03	3	3	6	9	39	1	317	14.7	74	1002	0	0
01/01/2016	04	3	2	6	8	40	1.5	330	15	71	1002	0	0
01/01/2016	05	3	2	5	6	37	0.5	321	14.9	74	1002	0	0
01/01/2016	06	3	2	4	6	35	0.2	207	14.5	77	1002	0	0
01/01/2016	07	3	2	4	6	54	0.9	275	14.5	78	1002	0	0
01/01/2016	08	3	2	4	6	58	2.1	303	14.4	81	1002	2	0
01/01/2016	09	4	2	4	6	58	1	303	14.5	83	1002	46	0
01/01/2016	10	5	2	4	6	53	0.9	318	15.3	79	1002	130	0
01/01/2016	11	5	2	4	6	58	1.1	321	16.3	73	1002	157	0
01/01/2016	12	4	2	4	6	56	0.5	225	17.2	73	1001	163	0
01/01/2016	13	5	2	4	6	59	0.9	183	18	73	999	283	0
01/01/2016	14	4	2	4	6	57	0.5	167	19.1	69	998	327	0
01/01/2016	15	4	2	4	6	56	1.4	139	17.9	77	997	162	0
01/01/2016	16	4	2	4	6	52	0.7	85	18.4	75	997	172	0
01/01/2016	17	4				37	0.7	35	17.4	80	997	31	0
01/01/2016	18	4				38	0.7	15	16	87	997	1	0
01/01/2016	19	4				35	0.1	350	15.1	92	996	0	0
01/01/2016	20	3				20	0.5	292	13.8	94	996	0	0
01/01/2016	21	4	3	20	22	17	0.5	302	13.3	95	996	0	0
01/01/2016	22	3	3	14	18	13	0.2	273	12.7	96	996	0	0
01/01/2016	23	3	2	15	18	16	0.6	300	12.5	97	995	0	0
02/01/2016	00	3	3	12	14	20	1.2	329	12.7	97	995	0	0
02/01/2016	01	3	3	7	10	21	0.5	322	12.9	97	994	0	0
02/01/2016	02	3	3	9	11	21	0.6	289	12.9	97	994	0	0
02/01/2016	03	3	2	7	10	19	0.5	278	12.5	97	994	0	0
02/01/2016	04	3	4	7	10	22	1	298	12.5	97	994	0	0
02/01/2016	05	3	4	5	8	22	0.4	327	12.2	97	993	0	0
02/01/2016	06	3	3	5	8	27	0.5	338	12.2	97	993	0	0
02/01/2016	07	3	3	7	10	31	0.7	305	11.8	94	994	0	0
02/01/2016	08	3	2	6	8	54	1.8	303	13.4	67	994	2	0
02/01/2016	09	3	2	6	7	63	1.9	319	15.3	52	995	89	0
02/01/2016	10	3	2	6	7	64	1.3	325	16.7	47	996	163	0
02/01/2016	11	3	2	6	7	68	2.3	321	17.6	42	997	183	0
02/01/2016	12	3	2	6	6	67	1.6	318	17.6	41	997	170	0
02/01/2016	13	3	2	4	6	70	1.1	274	18.4	39	996	364	0
02/01/2016	14	3	2	4	6	72	3.1	315	19.3	31	996	337	0
02/01/2016	15	3	2	4	6	73	2	300	20	30	995	354	0
02/01/2016	16	3	2	4	6	74	2.6	324	19.7	28	996	224	0
02/01/2016	17	3	2	4	6	74	2.3	330	18.6	29	996	58	0
02/01/2016	18	3	2	20	20	55	1.1	307	16.3	38	997	1	0
02/01/2016	19	3	2	22	23	50	1.5	309	14.4	44	998	0	0
02/01/2016	20	3				57	1.4	313	14.4	41	999	0	0
02/01/2016	21	3	2	14	15	57	1.5	293	13.9	44	999	0	0
02/01/2016	22	3	2	8	8	65	2.1	303	13.9	43	999	0	0
02/01/2016	23	3	2	4	6	68	2.1	325	13.8	43	999	0	0
03/01/2016	00	3	2	4	6	68	2.5	316	13.4	44	998	0	0
03/01/2016	01	3	2	4	6	71	3	304	13.5	42	998	0	0
03/01/2016	02	3	2	4	6	72	2.4	308	13.4	42	997	0	0
03/01/2016	03	3	2	4	6	69	1.4	303	13.3	44	997	0	0
03/01/2016	04	3	2	4	6	67	0.6	316	13.5	45	996	0	0
03/01/2016	05	3	2	4	6	60	0.1	204	12.8	51	995	0	0
03/01/2016	06	3	2	4	6	59	1.4	327	12.7	53	994	0	0
03/01/2016	07	3	2	13	13	47	0.5	163	11.7	54	994	0	0
03/01/2016	08	3	2	13	14	41	0.3	331	11.5	62	994	2	0
03/01/2016	09	3	2	12	12	40	0.2	295	11.8	65	994	23	0
03/01/2016	10	3				38	0.5	268	12.2	68	994	36	0
03/01/2016	11	3				38	0.1	322	13.4	64	994	72	0
03/01/2016	12	3	2	19	19	37	0.1	252	13.9	66	993	87	0
03/01/2016	13	3	2	5	6	49	0.1	176	15	62	991	121	0
03/01/2016	14	3	2	4	6	58	0.5	190	16	52	990	113	0
03/01/2016	15	3	2	4	6	59	0.3	145	16.6	49	988	132	0
03/01/2016	16	3				43	0.3	61	16	55	988	57	0
03/01/2016	17	3	2	21	22	39	0.6	344	15.8	59	988	25	0
03/01/2016	18	3	2	4	6	65	1.8	269	18	52	987	1	0
03/01/2016	19	3	2	4	6	64	2.2	238	17.5	58	987	0	0
03/01/2016	20	3				46	0.9	347	16	65	987	0	0
03/01/2016	21	3	2	35	36	26	0.2	350	13.8	73	986	0	0
03/01/2016	22	3	2	21	21	34	0.5	339	13.6	74	985	0	0
03/01/2016	23	3	2	18	19	34	0.5	316	13.4	77	985	0	0
04/01/2016	00	3	2	11	12	34	0.4	323	13.2	78	984	0	0
04/01/2016	01	3				36	0.6	336	12.9	80	983	0	0
04/01/2016	02	3	2	12	12	37	0.4	324	13.8	79	982	0	0
04/01/2016	03	3	2	11	11	38	0.4	344	14.3	78	982	0	0
04/01/2016	04	3	2	11	11	27	0.2	315	13.5	82	981	0	0
04/01/2016	05	3				25	0.1	294	12.6	87	980	0	0
04/01/2016	06	3	2	13	13	24	0.3	314	13.3	87	980	0	0
04/01/2016	07	3	4	23	26	15	0.3	293	12.9	89	980	0	0
04/01/2016	08	3	6	29	34	13	0.4	312	13.6	89	981	2	0
04/01/2016	09	4	5	30	35	13	0.3	278	14.9	84	981	24	0
04/01/2016	10	3	5	29	34	14	0.2	256	15.9	82	982	53	0
04/01/2016	11	4				36	0.5	163	17.4	80	983	78	0
04/01/2016	12	3				41	0.6	163	17	85	982	72	0
04/01/2016	13	3	2	14	14	52	0.8	154	15.9	91	981	54	0
04/01/2016	14	3				45	0.5	158	15.7		979	65	0
04/01/2016	15	4				52	0.4	150	15.8	91	978	54	0
04/01/2016	16	4				51	0.8	144	16	89	978	68	0
04/01/2016	17	4				50	0.2	154	15.9	89	978	47	0
04/01/2016	18	4				49	1.6	145	15.2	93	977	2	0
04/01/2016	19	4				33	1.6	77	15.7	88	977	0	0
04/01/2016	20	4				22	1	21	14.6		978	0	0
04/01/2016	21	3	2	43	43	18	0.4	202	14.6		979	0	0
04/01/2016	22	3	3	49	51	13	0.1	103	15	92	979	0	0
04/01/2016	23	3				33	0.2	76	14.8	89	980	0	0.2
05/01/2016	00	3	2	15	15	36	0.5	278	14.3	89	980	0	0
05/01/2016	01	3				32	0.6	288	13.8	92	980	0	0
05/01/2016	02	3	2	7	7	44	0.7	343	14.2	84	979	0	0
