FECHA	HORA	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	SO2	CO	NO	NO2
		�g/m�	�g/m�	m/s	grados	�C	% H.R.	�g/m�	mg/m�	�g/m�	�g/m�
01/01/2015	00	14	61	0.1	230	6.7	53	3	0.4	2	12
01/01/2015	01	13	62	0.1	257	6	53	3	0.3	2	11
01/01/2015	02	13	60	0.1	259	5.5	55	3	0.3	2	11
01/01/2015	03	13	61	0.1	253	4.9	55	3	0.3	2	11
01/01/2015	04	13	58	0.2	214	4.3	60	3	0.3	2	11
01/01/2015	05	14	56	0.1	258	3.9	62	3	0.2	2	12
01/01/2015	06	14	55	0.2	271	3.6	65	3	0.1	2	12
01/01/2015	07	15	51	0.2	245	3.3	68	3	0.1	2	13
01/01/2015	08	15	51	0.3	284	3.2	69	3	0.1	2	12
01/01/2015	09	14	49	0.3	230	3.8	69	3	0.1	2	12
01/01/2015	10	11	54	0.2	160	7.6	53	3	0.1	2	9
01/01/2015	11	10	58	0.1	77	10.3	46	3	0.2	2	8
01/01/2015	12	11	65	0.2	92	13.2	46	3	0.2	2	9
01/01/2015	13	13	71	0.1	65	16.1	36	3	0.2	2	11
01/01/2015	14	14	76	0.1	76	17.9	28	3	0.1	2	11
01/01/2015	15	14	77	0.2	157	17.3	30	3	0.1	2	12
01/01/2015	16	14	74	0.2	204	14.6	47	3	0.1	2	12
01/01/2015	17	14	73	0.1	342	13.3	62	3	0.1	2	12
01/01/2015	18	14	65	0.1	254	11.2	73	3	0.1	2	12
01/01/2015	19	13	57	0.1	266	9.4	79	3	0.2	2	11
01/01/2015	20	14	52	0.1	252	8.2	79	3	0.3	2	12
01/01/2015	21	13	50	0.2	271	7.4	79	3	0.3	2	11
01/01/2015	22	12	47	0.2	223	6.4	83	3	0.3	2	10
01/01/2015	23	13	48	0.3	246	6	78	3	0.3	2	11
02/01/2015	00	12	46	0.2	277	5.3	75	3	0.3	2	10
02/01/2015	01	12	46	0.1	249	5	71	3	0.4	2	10
02/01/2015	02	12	47	0.2	255	4.5	71	3	0.4	2	10
02/01/2015	03	12	48	0.2	253	4.4	69	3	0.3	2	10
02/01/2015	04	12	50	0.2	251	4.5	66	3	0.3	2	11
02/01/2015	05	12	51	0.1	259	4.4	65	3	0.2	2	10
02/01/2015	06	11	52	0.1	250	4.5	65	3	0.1	2	9
02/01/2015	07	12	51	0.2	243	4.4	66	3	0.2	2	10
02/01/2015	08	12	52	0.2	250	4.6	65	3	0.1	2	10
02/01/2015	09	12	52	0.4	233	5.3	63	3	0.1	2	10
02/01/2015	10	10	52	0.1	142	9.5	50	3	0.3	2	8
02/01/2015	11	10	55	0.1	126	12.2	42	3	0.3	2	9
02/01/2015	12	10	60	0.1	82	15.5	35	3	0.2	2	8
02/01/2015	13	9	65	0.1	123	19.7	28	3	0.1	2	7
02/01/2015	14	12	74	0.4	119	21.3	22	3	0.2	2	10
02/01/2015	15	12	78	0.7	120	19.6	25	3	0.3	2	10
02/01/2015	16	14	78	0.2	212	17.1	30	3	0.2	2	12
02/01/2015	17	14	72	0.1	267	14.8	40	3	0.2	2	12
02/01/2015	18	14	64	0.1	257	12.8	48	3	0.1	2	12
02/01/2015	19	14	60	0.2	259	11.5	51	3	0.2	2	12
02/01/2015	20	13	58	0.4	256	10.3	54	3	0.2	2	12
02/01/2015	21	14	56	0.3	270	9.5	55	3	0.2	2	12
02/01/2015	22	14	53	0.3	258	9	56	3	0.1	2	12
02/01/2015	23	14	49	0.5	266	8.5	57	3	0.1	2	12
03/01/2015	00	14	46	0.4	255	7.9	59	3	0.1	2	12
03/01/2015	01	15	47	0.3	253	7.8	59	3	0.1	2	12
03/01/2015	02	13	49	0.3	257	7.4	60	3	0.1	2	11
03/01/2015	03	14	48	0.4	255	7.1	62	3	0.1	2	12
03/01/2015	04	14	49	0.4	259	6.9	63	3	0.1	2	12
03/01/2015	05	14	51	0.5	252	6.9	62	3	0.1	2	12
03/01/2015	06	14	52	0.3	252	6.9	62	3	0.1	2	12
03/01/2015	07	14	52	0.2	245	6.6	62	3	0.1	2	12
03/01/2015	08	15	51	0.1	249	6.3	63	3	0.1	2	12
03/01/2015	09	13	51	0.2	227	6.9	61	3	0.2	2	11
03/01/2015	10	11	54	0.3	175	11.1	48	3	0.3	2	9
03/01/2015	11	10	59	0.2	170	15	37	3	0.3	2	8
03/01/2015	12	11	65	0.2	162	19.1	30	3	0.2	2	9
03/01/2015	13	12	71	0.1	171	22.7	23	3	0.1	2	9
03/01/2015	14	14	77	0.2	55	24.3	19	3	0.1	2	11
03/01/2015	15	14	78	0.1	205	23.6	20	3	0.1	2	12
03/01/2015	16	16	76	0.2	110	20.3	29	3	0.1	2	14
03/01/2015	17	16	75	0.1	156	18.3	33	3	0.1	2	14
03/01/2015	18	18	68	0.1	292	15.9	40	3	0.2	2	16
03/01/2015	19	15	65	0.2	256	15.8	39	3	0.1	2	12
03/01/2015	20	15	61	0.4	307	14.9	42	3	0.2	2	13
03/01/2015	21	16	59	0.2	255	13.6	45	3	0.2	2	13
03/01/2015	22	14	57	0.2	244	12.4	49	3	0.1	2	12
03/01/2015	23	15	59	0.2	229	11.9	48	3	0.1	2	13
04/01/2015	00	15	58	0.3	255	11.3	48	3	0.1	2	13
04/01/2015	01	14	60	0.4	251	11.1	46	3	0.1	2	12
04/01/2015	02	15	62	0.5	257	11.5	43	3	0.1	2	13
04/01/2015	03	13	63	0.4	263	11.6	42	3	0.1	2	11
04/01/2015	04	14	65	0.2	254	11.4	41	3	0.1	2	12
04/01/2015	05	13	63	0.4	268	11	45	3	0.2	2	11
04/01/2015	06	13	63	0.2	275	10.7	46	3	0.1	2	11
04/01/2015	07	13	61	0.3	290	10.3	49	3	0.1	2	11
04/01/2015	08	14	62	0.3	277	10.5	47	3	0.1	2	12
04/01/2015	09	14	65	0.2	253	11.4	44	3	0.2	2	12
04/01/2015	10	11	64	0.1	175	15.4	37	3	0.2	2	9
04/01/2015	11	11	67	0.2	157	18.1	32	4	0.2	2	9
04/01/2015	12	11	71	0.2	147	20.8	29	3	0.1	2	9
04/01/2015	13	13	71	0.1	85	23.5	28	3	0.1	2	11
04/01/2015	14	14	71	0.5	140	23.8	29	3	0.1	2	11
04/01/2015	15	20	66	1.4	110	20.8	39	3	0.1	2	16
04/01/2015	16	22	64	1.2	114	18	54	3	0.1	2	19
04/01/2015	17	19	63	0.2	61	15.9	58	4	0.1	2	17
04/01/2015	18	19	61	0.1	29	13.9	63	4	0.2	2	16
04/01/2015	19	18	52	0.1	274	12	74	3	0.2	2	16
04/01/2015	20	16	48	0.1	243	11	77	4	0.3	2	14
04/01/2015	21	16	44	0.1	253	10.2	78	6	0.2	2	14
04/01/2015	22	16	46	0.2	250	10	73	3	0.2	2	14
04/01/2015	23	14	46	0.2	256	9.2	72	3	0.2	2	12
05/01/2015	00	14	44	0.1	252	8.4	72	3	0.3	2	12
05/01/2015	01	13	45	0.1	254	7.7	71	3	0.3	2	11
05/01/2015	02	13	43	0.1	259	7	73	3	0.3	2	11
05/01/2015	03	14	43	0.2	235	6.5	75	3	0.3	2	11
05/01/2015	04	13	42	0.2	252	6.2	75	3	0.3	2	11
05/01/2015	05	12	42	0.2	255	5.9	76	3	0.2	2	10
05/01/2015	06	13	42	0.2	258	5.6	76	3	0.1	2	11
05/01/2015	07	13	41	0.3	237	5.5	77	3	0.2	2	11
05/01/2015	08	13	39	0.2	215	5.2	79	3	0.2	2	10
05/01/2015	09	14	40	0.4	210	5.7	77	3	0.1	2	11
05/01/2015	10	11	42	0.3	172	9.3	60	3	0.1	2	9
05/01/2015	11	12	45	0.1	130	12	51	4	0.1	2	9
05/01/2015	12	11	48	0.1	126	14.7	44	3	0.1	2	9
05/01/2015	13	13	58	0.3	141	17.5	41	3	0.1	2	10
05/01/2015	14	15	66	1.3	108	18.3	49	4	0.1	2	12
05/01/2015	15	19	62	1.2	109	17.2	58	4	0.1	2	15
05/01/2015	16	20	58	0.8	115	15	71	3	0.1	2	17
05/01/2015	17	20	54	0.2	111	13.6	80	4	0.1	2	18
05/01/2015	18	19	48	0.1	215	11.8	87	3	0.2	2	17
05/01/2015	19	19	37	0.1	246	10.5	93	3	0.2	2	16
05/01/2015	20	23	30	0.1	276	9.5	96	3	0.2	4	16
05/01/2015	21	18	27	0.1	261	8.8	97	3	0.2	2	15
05/01/2015	22	16	23	0.1	259	8.1	98	3	0.3	2	13
05/01/2015	23	15	20	0.1	267	7.6	99	3	0.2	2	12
06/01/2015	00	16	18	0.1	255	7.3	98	3	0.3	3	12
06/01/2015	01	16	18	0.1	255	6.9	98	3	0.3	3	12
06/01/2015	02	15	17	0.1	278	6.6	98	3	0.2	3	11
06/01/2015	03	15	17	0.1	233	6.2	99	3	0.2	3	10
06/01/2015	04	13	19	0.1	240	6	98	3	0.3	2	10
06/01/2015	05	13	22	0.1	251	5.7	96	4	0.2	2	10
06/01/2015	06	13	23	0.1	244	5.3	96	3	0.1	2	10
