"Provincia";"Termino";"Estación";"Fecha";"Hora";"Temperatura";"Humedad relativa";"Radiación (w/m²)";"Velocidad del viento (Km/h)";"Dirección del viento";"Precipitación (mm)";"Estado"
"Castelló";"Onda";"Onda";"25/07/2016";"00:30";"23,71";"59,45";"0";"3,36";"N";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"01:00";"23,55";"60,4";"0";"3,05";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"01:30";"23,53";"58,98";"0";"3,93";"N";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"02:00";"23,66";"56,45";"0";"4,03";"N";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"02:30";"22,64";"60,56";"0";"3,7";"N";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"03:00";"21,81";"63,55";"0";"1,99";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"03:30";"20,85";"67,66";"0";"2,01";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"04:00";"20,32";"71,2";"0";"2,66";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"04:30";"20,3";"72,8";"0";"3,15";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"05:00";"19,9";"73,9";"2,43";"3,16";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"05:30";"19,97";"73,5";"27,89";"3,34";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"06:00";"20,97";"69,28";"97,5";"3,58";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"06:30";"22,2";"63,94";"178,7";"4,44";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"07:00";"23,71";"57,12";"267,1";"4,65";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"07:30";"25,08";"53,32";"357,3";"4,17";"N";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"08:00";"26,04";"52,29";"445";"3,83";"N";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"08:30";"27,03";"51,1";"527,8";"3,05";"NE";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"09:00";"27,74";"53,15";"604,8";"2,75";"NE";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"09:30";"28,79";"49,78";"673,5";"2,88";"E";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"10:00";"29,75";"44,67";"737";"3,9";"E";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"10:30";"30,28";"43,26";"784";"5,96";"SE";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"11:00";"30,39";"45,38";"824";"7,48";"E";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"11:30";"30,1";"48,93";"851";"7,58";"E";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"12:00";"30,33";"50,45";"864";"9,01";"E";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"12:30";"30,46";"51,07";"864";"8,02";"SE";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"13:00";"30,46";"53,08";"853";"8,41";"SE";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"13:30";"30,46";"47,99";"827";"11,1";"SE";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"14:00";"30,06";"39,98";"657,7";"12,17";"SE";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"14:30";"29,17";"43,69";"603";"11,71";"SE";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"15:00";"28,81";"44,63";"379,4";"10,99";"SE";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"15:30";"27,61";"49,51";"254,1";"10,36";"SE";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"16:00";"27,3";"53,8";"269,2";"7,74";"SE";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"16:30";"27,42";"52,78";"251,4";"7,28";"SE";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"17:00";"27,51";"50,66";"154,2";"6,54";"SE";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"17:30";"26,96";"51,94";"107,5";"5,44";"SE";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"18:00";"26,49";"54,26";"70,5";"4,08";"SE";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"18:30";"25,91";"56,94";"39,12";"2,34";"SE";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"19:00";"25,26";"60,33";"17,76";"1,47";"E";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"19:30";"24,59";"65,04";"3,78";"0,39";"E";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"20:00";"23,79";"67,58";"0,06";"0,4";"SE";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"20:30";"22,99";"70,4";"0";"0,68";"S";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"21:00";"22,7";"70,7";"0";"1,09";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"21:30";"22,66";"69,67";"0";"1,55";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"22:00";"22,19";"71,2";"0";"2,44";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"22:30";"22,46";"68,13";"0";"1,9";"O";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"23:00";"22,57";"65,14";"0";"3,28";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"23:30";"23,37";"57,61";"0";"4,02";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"25/07/2016";"24:00";"23,22";"56,74";"0";"3,02";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"26/07/2016";"00:30";"22,66";"56,72";"0";"2,78";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"26/07/2016";"01:00";"21,86";"60,25";"0";"1,17";"E";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"26/07/2016";"01:30";"20,99";"64,78";"0";"2,33";"N";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"26/07/2016";"02:00";"21,15";"65,17";"0";"2,96";"N";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"26/07/2016";"02:30";"20,55";"67,25";"0";"1,25";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"26/07/2016";"03:00";"19,61";"70";"0";"2";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"26/07/2016";"03:30";"19,37";"71,3";"0";"1,48";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"26/07/2016";"04:00";"19,21";"73,4";"0";"2,1";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"26/07/2016";"04:30";"19,12";"76";"0";"2,98";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"26/07/2016";"05:00";"19,34";"74,3";"2,12";"2,39";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"26/07/2016";"05:30";"19,41";"71,9";"20,39";"3,14";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"26/07/2016";"06:00";"20,37";"67,78";"78";"3,52";"NO";"0";"Sin incidencias"
"Castelló";"Onda";"Onda";"26/07/2016";"06:30";"21,62";"65,08";"159";"2,79";"NO";"0";"Sin incidencias"
