"Provincia";"Termino";"Estación";"Fecha";"Hora";"Temperatura";"Humedad relativa";"Radiación (w/m²)";"Velocidad del viento (Km/h)";"Dirección del viento";"Precipitación (mm)";"Estado"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"00:30";"25,53";"17,42";"0";"1,12";"NE";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"01:00";"25,66";"16,01";"0";"1,35";"NE";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"01:30";"25,46";"16,05";"0";"1,42";"NE";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"02:00";"25,48";"15,39";"0";"1,17";"NE";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"02:30";"25,21";"15,36";"0";"0,91";"NE";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"03:00";"25,4";"15,31";"0";"1,2";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"03:30";"25,84";"14,87";"0";"2";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"04:00";"26,11";"14,97";"0";"2,12";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"04:30";"26,15";"16,22";"0";"1,25";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"05:00";"26,17";"17,11";"0";"1,02";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"05:30";"26,37";"17,16";"0,21";"1,74";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"06:00";"26,58";"18,21";"6,89";"1,23";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"06:30";"26,5";"18,74";"30,11";"1,04";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"07:00";"27,34";"20,66";"55,18";"0,83";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"07:30";"27,66";"21,95";"65,51";"0,96";"NE";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"08:00";"28,71";"20,18";"67,33";"0,53";"E";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"08:30";"30,1";"16,64";"86";"0,64";"S";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"09:00";"30,98";"15,75";"115";"0,39";"S";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"09:30";"32,59";"14,7";"328,8";"1,4";"SO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"10:00";"33,9";"12,27";"637";"2,18";"SO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"10:30";"34,66";"12,49";"747,7";"2,42";"SO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"11:00";"35,2";"13,04";"802";"2,57";"SO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"11:30";"35,29";"15,02";"766,6";"2,31";"SO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"12:00";"35,52";"18,75";"858";"2,66";"SO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"12:30";"36,46";"20,06";"873";"3,25";"SO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"13:00";"36,09";"20,39";"810,95";"2,8";"SO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"13:30";"35,71";"20,72";"748,9";"2,35";"SO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"14:00";"35,72";"20,39";"693,8";"3,33";"SO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"14:30";"35,04";"21,62";"491,4";"2,98";"SO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"15:00";"34,38";"21,38";"496,5";"2,84";"SO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"15:30";"35,07";"19,95";"524,8";"2,61";"SO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"16:00";"35,55";"19,81";"454,3";"2,11";"SO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"16:30";"35,42";"19,27";"371,4";"1,7";"SO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"17:00";"35,29";"19,09";"270,3";"1,05";"SO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"17:30";"34,88";"18,43";"169,4";"0,87";"SO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"18:00";"33,51";"21,65";"74,96";"0,26";"O";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"18:30";"31,3";"25,73";"15,06";"0,01";"NO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"19:00";"29,83";"27,32";"0,53";"0,51";"NE";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"19:30";"29,35";"26,94";"0";"0,76";"NO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"20:00";"29,47";"25,94";"0";"0,99";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"20:30";"29,31";"25,5";"0";"1,77";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"21:00";"29,6";"24,46";"0";"1,97";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"21:30";"29,44";"24,3";"0";"1,75";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"22:00";"28,8";"25,46";"0";"1,06";"NE";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"22:30";"28,28";"26,27";"0";"1,92";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"23:00";"28,27";"26,05";"0";"1,97";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"23:30";"27,96";"26,47";"0";"0,58";"E";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"05/09/2016";"24:00";"26,76";"29,94";"0";"0,78";"NE";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"06/09/2016";"00:30";"26,52";"32,64";"0";"0,98";"O";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"06/09/2016";"01:00";"27,67";"27,28";"0";"2,34";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"06/09/2016";"01:30";"27,94";"26,66";"0";"1,79";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"06/09/2016";"02:00";"28,36";"24,74";"0";"2,63";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"06/09/2016";"02:30";"27,86";"25,13";"0";"0,62";"NE";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"06/09/2016";"03:00";"25,73";"29,07";"0";"0,62";"NE";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"06/09/2016";"03:30";"25,6";"29,11";"0";"1,41";"NO";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"06/09/2016";"04:00";"26,35";"26,64";"0";"1,04";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"06/09/2016";"04:30";"26,02";"33,01";"0";"0,31";"E";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"06/09/2016";"05:00";"24,74";"42,41";"0";"0,6";"NE";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"06/09/2016";"05:30";"24,02";"50,69";"0,44";"0,6";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"06/09/2016";"06:00";"15,35";"34,79";"11,48";"0,38";"E";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"06/09/2016";"06:30";"23,45";"57,76";"26,54";"0,3";"N";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"06/09/2016";"07:00";"23,7";"59,68";"48,39";"0,24";"E";"0";"Sin incidencias"
"Alacant";"Callosa d'En Sarrià";"Callosa d'en Sarrià";"06/09/2016";"07:30";"24,38";"57,46";"60,74";"0,01";"NE";"0";"Sin incidencias"
