"Provincia";"Termino";"Estación";"Fecha";"Hora";"Temperatura";"Humedad relativa";"Radiación (w/m²)";"Velocidad del viento (Km/h)";"Dirección del viento";"Precipitación (mm)";"Estado"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"00:30";"21,68";"39,63";"0";"2,86";"N";"0";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"01:00";"21,38";"40,84";"0";"2,24";"N";"0";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"01:30";"20,63";"44,44";"0";"2,24";"N";"0";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"02:00";"20,54";"44,82";"0";"2,39";"N";"0";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"02:30";"20,26";"45,42";"0";"2,05";"N";"0";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"03:00";"19,53";"47,94";"0";"2,03";"N";"0";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"03:30";"18,91";"49,17";"0";"1,82";"N";"0";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"04:00";"18,66";"48,05";"0";"2,5";"N";"0";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"04:30";"18,97";"46,49";"0";"2,6";"N";"0";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"05:00";"19,02";"46,45";"1,49";"3,16";"N";"0";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"05:30";"19,09";"47,15";"15,88";"3,73";"N";"0";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"06:00";"19,13";"48,23";"41,21";"3,06";"N";"0";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"06:30";"19,35";"48,52";"77,78";"2,19";"N";"0";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"07:00";"19,89";"47,96";"131,1";"2,85";"N";"0";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"07:30";"19,59";"41,27";"165,6";"6,38";"N";"0";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"08:00";"19,72";"40,5";"225,5";"6,89";"N";"0";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"08:30";"20,16";"38,73";"326,6";"7,41";"N";"0";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"09:00";"21,69";"34,28";"541,1";"8,23";"N";"0";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"16/06/2016";"09:30";"22,9";"29,84";"686,2";"10,8";"N";"0";"Sin incidencias"
