"Provincia";"Termino";"Estación";"Fecha";"Hora";"Temperatura";"Humedad relativa";"Radiación (w/m²)";"Velocidad del viento (Km/h)";"Dirección del viento";"Precipitación (mm)";"Estado"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"00:30";"17,77";"88,9";"0";"0,26";"S";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"01:00";"17,86";"90";"0";"0,42";"SO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"01:30";"17,95";"90,3";"0";"0,92";"SO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"02:00";"18,55";"89";"0";"2,05";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"02:30";"18,6";"87,5";"0";"1,48";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"03:00";"18,26";"86,1";"0";"1,21";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"03:30";"18,1";"82,4";"0";"1,16";"SO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"04:00";"18,19";"80,4";"0";"1,04";"SE";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"04:30";"17,16";"84,4";"0,46";"0,4";"SO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"05:00";"16,73";"85,2";"10,61";"0,46";"SO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"05:30";"17,92";"79,5";"61,27";"1,07";"SO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"06:00";"22,71";"57,99";"137,1";"2,52";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"06:30";"24,62";"50,96";"219,4";"5,22";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"07:00";"25,12";"47,1";"314,3";"6,64";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"07:30";"25,81";"43,03";"408,5";"7,33";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"08:00";"26,35";"38,83";"500,3";"7,65";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"08:30";"26,91";"38,56";"598,6";"7,53";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"09:00";"27,59";"37,23";"675,8";"10,12";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"09:30";"27,77";"36,06";"691,4";"10,14";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"10:00";"28,6";"32,45";"781";"10,27";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"10:30";"29,61";"30,78";"878";"8,51";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"11:00";"30,67";"28,85";"828";"7,2";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"11:30";"31,52";"27,57";"869";"7,93";"SO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"12:00";"31,92";"26,11";"769";"5,61";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"12:30";"32,26";"24,72";"735";"5,34";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"13:00";"33,43";"22,2";"920";"7,29";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"13:30";"33,12";"22,15";"552,5";"6,63";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"14:00";"32,82";"21,28";"613,6";"6,7";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"14:30";"33,18";"20,24";"656,3";"8,53";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"15:00";"33,63";"17,46";"712";"9,06";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"15:30";"33,25";"16,81";"601,6";"9,3";"NO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"16:00";"33,54";"16,38";"661,9";"8,66";"NO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"16:30";"33,36";"16";"552,1";"7,15";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"17:00";"32,13";"16,99";"447,9";"10,31";"NO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"17:30";"30,82";"18,76";"360,1";"11,63";"NO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"18:00";"29,46";"19,84";"249";"11,85";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"18:30";"28,28";"21,41";"118,6";"10,16";"NO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"19:00";"27,14";"22,47";"42,85";"7,65";"NO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"19:30";"26,55";"22,96";"16,54";"7,07";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"20:00";"26,1";"23,26";"1,12";"7,21";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"20:30";"25,63";"24,15";"0";"7,44";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"21:00";"25,03";"26,54";"0";"7,42";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"21:30";"24,36";"29,01";"0";"7,51";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"22:00";"24,05";"29,21";"0";"6,47";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"22:30";"23,13";"29,28";"0";"5,62";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"23:00";"23,11";"28,99";"0";"7,97";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"23:30";"22,55";"31,85";"0";"9,73";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"15/06/2016";"24:00";"21,88";"32,52";"0";"7,25";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"00:30";"20,78";"35,33";"0";"2,93";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"01:00";"19,9";"38,55";"0";"2,8";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"01:30";"19,32";"40,98";"0";"2,56";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"02:00";"19,41";"41,49";"0";"2,36";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"02:30";"19,52";"41,34";"0";"4,17";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"03:00";"19,63";"41,16";"0";"2,93";"SO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"03:30";"17,97";"47,67";"0";"1,09";"SO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"04:00";"17,77";"46,15";"0";"3,43";"SO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"04:30";"18,78";"41";"0,11";"3,58";"SO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"05:00";"18,53";"42,12";"3,67";"2,86";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"05:30";"18,35";"43,02";"20,38";"2,81";"SO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"06:00";"18,46";"43,13";"48,04";"3,25";"SO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"06:30";"18,49";"44,53";"87,6";"3,76";"SO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"07:00";"18,6";"44,82";"138,6";"5,18";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"07:30";"18,8";"44,53";"177,7";"6,89";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"08:00";"18,71";"44,23";"246,8";"7,96";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"08:30";"19,86";"41,49";"473,8";"4,72";"SO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"09:00";"21,76";"35,82";"691,9";"8,58";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"09:30";"22,83";"31,08";"763";"9,92";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"10:00";"23,7";"29,01";"818";"9,69";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"10:30";"24,15";"27,79";"868";"8,64";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"11:00";"24,98";"26,15";"914";"9,47";"NO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"11:30";"25,14";"26,18";"903";"8,97";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"12:00";"25,81";"25,44";"799";"8,97";"NO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"12:30";"25,5";"25,28";"787";"8,9";"NO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"13:00";"25,39";"24,87";"486,7";"7,66";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"13:30";"25,54";"24,47";"589,1";"8,79";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"14:00";"26,04";"22,65";"660,2";"10,23";"NO";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"14:30";"26,08";"22,36";"571,6";"8,88";"O";"0";"Sin incidencias"
"València";"Xàtiva";"Xàtiva";"16/06/2016";"15:00";"26,15";"22,67";"552,7";"8,54";"O";"0";"Sin incidencias"
