"Provincia";"Termino";"Estación";"Fecha";"Hora";"Temperatura";"Humedad relativa";"Radiación (w/m²)";"Velocidad del viento (Km/h)";"Dirección del viento";"Precipitación (mm)";"Estado"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"00:30";"24,28";"32,52";"0";"2,66";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"01:00";"23,45";"34,67";"0";"1,94";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"01:30";"21,69";"39,85";"0";"1,69";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"02:00";"23,62";"32,53";"0";"3,23";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"02:30";"22,67";"35,29";"0";"1,31";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"03:00";"22,62";"35,15";"0";"3,57";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"03:30";"23,5";"33,43";"0";"2,3";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"04:00";"21,3";"40,69";"0";"0,64";"SO";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"04:30";"19,26";"46,94";"0,7";"1,41";"NO";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"05:00";"21,73";"38,88";"16,44";"4,15";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"05:30";"21,71";"40,62";"107,6";"2,2";"N";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"06:00";"21,77";"42,35";"201,5";"1,31";"NE";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"06:30";"23,11";"40,13";"291";"3,37";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"07:00";"24,35";"37,72";"377,8";"4,44";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"07:30";"24,57";"36,39";"462,5";"6,67";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"08:00";"25,07";"35";"544,7";"5,47";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"08:30";"25,6";"32,98";"614,3";"7,74";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"09:00";"26,3";"30,69";"677,6";"7,88";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"09:30";"26,7";"29,12";"737";"10,04";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"10:00";"27,28";"28,31";"785";"8,79";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"10:30";"28,04";"26,77";"836";"7,99";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"11:00";"28,86";"24,46";"857";"8,7";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"11:30";"29,37";"23,48";"882";"9,8";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"12:00";"29,8";"23,16";"884";"9,51";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"12:30";"30,28";"22,22";"883";"9,5";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"13:00";"30,39";"22,02";"856";"11,12";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"13:30";"30,44";"22,24";"886";"11,03";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"14:00";"30,44";"22,11";"851";"9,87";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"14:30";"30,52";"22,73";"812";"10,72";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"15:00";"30,43";"23,78";"757";"9,42";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"15:30";"30,56";"23,67";"701";"9,9";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"16:00";"30,02";"24,79";"639,9";"9,29";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"16:30";"29,87";"24,05";"518,4";"9,47";"O";"0";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"28/06/2017";"17:00";"29,52";"25,62";"462,1";"8,99";"O";"0";"Sin incidencias"
