Artana,Beneixama,Beniarda,Bolulla,Carcaixent,Chella,Gatova,Llutxent,Montan,VallGallinera,ValldEbo
25/07/2016 15:00:00,15/07/2019 14:00:00,28/08/2020 21:00:00,4/09/2016 18:30:00,16/06/2016 17:00:00,15/06/2016 20:00:00,28/06/2017 19:30:00,6/08/2018 14:30:00,7/07/2015 17:00:00,8/08/2020 16:30:00,14/05/2015 11:00:00
25/07/2016 16:00:00,15/07/2019 14:30:00,29/08/2020 18:30:00,4/09/2016 20:30:00,16/06/2016 18:00:00,15/06/2016 20:30:00,28/06/2017 21:00:00,6/08/2018 16:30:00,7/07/2015 17:30:00,8/08/2020 17:30:00,14/05/2015 14:00:00
25/07/2016 18:00:00,15/07/2019 15:00:00,,5/09/2016 15:30:00,16/06/2016 19:00:00,15/06/2016 22:30:00,29/06/2017 7:30:00,6/08/2018 17:00:00,8/07/2015 10:00:00,8/08/2020 20:30:00,14/05/2015 16:30:00
25/07/2016 21:00:00,15/07/2019 15:30:00,,5/09/2016 16:00:00,16/06/2016 20:00:00,16/06/2016 8:00:00,29/06/2017 10:30:00,6/08/2018 17:30:00,8/07/2015 14:30:00,10/08/2020 20:00:00,14/05/2015 22:00:00
26/07/2016 8:00:00,15/07/2019 16:00:00,,5/09/2016 19:00:00,16/06/2016 20:30:00,16/06/2016 13:00:00,29/06/2017 13:30:00,6/08/2018 18:00:00,8/07/2015 16:30:00,,15/05/2015 8:00:00
26/07/2016 10:00:00,15/07/2019 17:30:00,,6/09/2016 3:00:00,16/06/2016 21:30:00,16/06/2016 21:00:00,29/06/2017 15:00:00,6/08/2018 18:30:00,8/07/2015 18:30:00,,
26/07/2016 11:00:00,15/07/2019 18:30:00,,6/09/2016 11:00:00,17/06/2016 9:00:00,17/06/2016 9:00:00,29/06/2017 18:00:00,6/08/2018 19:00:00,8/07/2015 19:30:00,,
26/07/2016 14:00:00,15/07/2019 19:30:00,,6/09/2016 12:30:00,17/06/2016 16:00:00,,29/06/2017 19:30:00,6/08/2018 19:30:00,9/07/2015 10:30:00,,
27/07/2016 12:00:00,15/07/2019 22:00:00,,6/09/2016 19:00:00,17/06/2016 21:00:00,,29/06/2017 21:00:00,6/08/2018 20:00:00,9/07/2015 16:00:00,,
,,,,18/06/2016 9:00:00,,30/06/2017 7:30:00,6/08/2018 20:30:00,9/07/2015 18:30:00,,
,,,,,,30/06/2017 12:00:00,6/08/2018 21:00:00,10/07/2015 10:00:00,,
,,,,,,30/06/2017 15:00:00,7/08/2018 1:00:00,,,
,,,,,,,7/08/2018 8:00:00,,,
,,,,,,,7/08/2018 14:30:00,,,
,,,,,,,7/08/2018 19:30:00,,,
,,,,,,,7/08/2018 21:30:00,,,
,,,,,,,8/08/2018 13:30:00,,,
,,,,,,,8/08/2018 20:00:00,,,
